Таблица Справочник наименований продукции
Код	Обозначение	Название	Вид	Тип	Признак

77740	5Г8-3В	Гидропанель	3	3	2
40141100000	2Г8-3В-000	Плунжер	2	3	2
50122800000	5Г34-24М-000	Корпус	2	3	2
40141500000	Г8-3М151-00-00	Золотник	2	3	2
40945310200	Д61-6/22-01	Ручка	1	3	2
40945210300	Д61-6/40-01	Ручка	1	3	2
40372101200	ОСТ2 Д71-1-82 4-К3/4	Заглушка	1	1	2
40372100500	ОСТ2.Д71-1-82 К1/8	Заглушка	1	1	2
40994307000	ОСТ93-35-78 М22	Прокладка	1	1	2
50911305000	ПР1-21	Пружина	1	3	2
50911303500	ПР2-04	Пружина	 1	3	2
50911203600	ПР2-10	Пружина	1	3	2
40322114800	2Г34-24М-013	Пробка	1	3	2
50651402550	2Г8-3В-002А	Плита	1	3	2
40141102000	2Г8-3В-003	Рукоятка	1	3	2
50631802450	2Г8-3В-005	Кронштейн	1	3	2
50612701720	2Г8-3В-012-02	Табличка фирменная	1	3	2
40141102100	2Г8-3В-014	Плунжер	1	3	2
50526105860	2Г8-3В-201	Труба	1	3	2
50526105960	2Г8-3В-301А	Труба	1	3	2
40414301500	2Г8-3В-401	Ступица	1	3	2
50612204000	2Г8-3В-402	Планка	1	3	2
40116207150	2Г8-3В-600-001	Втулка	1	3	2
40112203000	2Г8-3В-600-002	Дроссель	1	3	2
40332100630	ОСТ2Д71-1-82 3-5	Заглушка 	1	1	2
40372100900	ОСТ2Д71-1-82 4-К3/8	Заглушка	1	1	2
40372101600	ОСТ2.Д71-1-82 4-К1/2	Заглушка	1	1	2
40372100700	ОСТ2.Д71-1-82 4-К1/4	Заглушка	1	1	2
50122806260	5Г34-24М-011	Корпус	1	3	2
50911102500	5У4255-072А	Пружина	1	3	2
40112101800	Г34-12-28	Плунжер	1	3	2
40116202200	Г34-14-25	Втулка	1	3	2
50612204460	Г34-22М-019	Планка	1	3	2
50911309300	Г34-22М-021	Пружина	1	3	2
50122804850	Г34-24М-011	Корпус	1	3	2
40111203950	Г34-24М-012	Золотник	1	3	2
50221105050	Г34-24М-014А	Крышка левая	1	3	2
50221105150	Г34-24М-015А	Крышка правая	1	3	2
40112202650	Г34-24М-017	Валик управления	1	3	2
40112203200	Г34-24М-018	Колесо Зубчатое	1	3	2
40112203100	Г34-24М-021А	Дроссель	1	3	2
40111702950	Г34-24М-022	Золотник управления	1	3	2
40314205050	Г34-24М-023	Прокладка	1	3	2
50221105160	Г34-24М-026	Крышка	1	3	2
40332100630	ОСТ2Д71-1-82 3-5	Заглушка 	1	1	2
40372100900	ОСТ2Д71-1-82 4-К3/8	Заглушка	1	1	2
40372101600	ОСТ2.Д71-1-82 4-К1/2	Заглушка	1	1	2
40372100700	ОСТ2.Д71-1-82 4-К1/4	Заглушка	1	1	2
40116206300	Г8-3М151-04-26	Втулка	1	3	2
40141101700	Г8-3М151-04-27А	Плунжер	1	3	2
40112101400	Г8-3М151-04-28	Кнопка	1	3	2
40962104310	Г8-3М151-04-29-01	Ось	1	3	1
40116208900	Г8-3М151-04-31А	Втулка	1	3	2
40331100600	Г8-3М151-04-34	Заглушка	1	3	2
40141502000	Г8-3М151-04-35	Золотник	1	3	2
40414302800	Г8-3М151-40-01	Ступица	1	3	2
40945310400	Г8-3М151-40-02	Рукоятка	1	3	2
50512101100	Г8-3М151-40-03	Вставка	1	3	2
40116211600	Г8-3М151-40-04	Втулка	1	3	2
50122803400	Г8-3М151-40-11	Корпус	1	3	2
50122803500	Г8-3М151-40-12	Фланец	1	3	2
40311101700	Г8-3М151-40-14	Полукольцо	1	3	2
50221104350	Г8-3М151-40-15А	Крышка	1	3	2
40962104400	Г8-3М151-40-16А	Ось	1	3	1
40116206700	Г8-3М151-40-19	Втулка	1	3	2
40111202200	Г8-3М151-40-20	Золотник	1	3	2
40116206800	Г8-3М151-40-21	Втулка-шестерня	1	3	2
50221104450	Г8-3М151-40-23А	Крышка	1	3	2
40771100100	Г8-3М151-40-25	Рейка	1	3	2
40112101500	Г8-3М151-40-26	Плунжер	1	3	2
40962106100	Г8-3М151-40-27	Винт	1	3	1
40332100630	ОСТ2Д71-1-82 3-5	Заглушка	1	1	2
40372100900	ОСТ2Д71-1-82 4-К3/8	Заглушка	1	1	2
40372101600	ОСТ2.Д71-1-82 4-К1/2	Заглушка	1	1	2
40372100700	ОСТ2.Д71-1-82 4-К1/4	Заглушка	1	1	2
