Таблица Справочник технологических материалов
Код материала	Наименование	Код единицы измерения

2211131001	Полиэтилен 10803-020 ГОСТ 16337-77 Сорт1	1
1314401241	Проволока А-2-П 9389-75 Ф0,6	1
951059370	Круг Ст.30ХГСА Легир.4543-71 2590-71 Ф10	1
971109032	Лист Ст.65Г 1542-71 19903-72 2-Б Б1.5 Г/К	1
2543113121	Резиновая смесь 7в-14 ТУ38.005.204-84	1
4111220016	Корпус БСК40-10-001Б СЧ20 80х88 6,4	6,4000	1
1131124536	Круг Ст.45 Калибр.1051-73 7417-75 Ф36	1
973008001	Лист Ст.3-3-2 16523-70 19903-74 2,0 Г/К	1
1131143524	Шестигр.Ст.35 Калибр.1051-73 8560-67 S24	1
1131122540	Круг Ст.30ХГСА Калибр.4543-71 7417-75 Ф5	1
2211120103	Полиэтил Низ.Давл.15803-020 ГОСТ 16337-77 1 Сорт	1
1132006708	Круг Ст.ШХ15 Калибр.801-78 7417-75 Ф16	1
4111220011	Плита БСК-40МА-6-007 СЧ20 53х94  15,3	1
1811101501	Алюмин. Лист АД1 21631-76 Б=0,5	1
951035120	Круг Ст.45-Б-Т Углерод.1050-88 2590-88 Ф20	1
951035116	Круг Ст.45-Б-Т Углерод.1050-88 2590-88 Ф16	1
1131143530	Шестигр.Ст.35 Калибр.1051-73 8560-67 S30	1
1131124516	Круг Ст.45 Калибр.1051-73 7417-75 Ф16	1
951035515	Квадрат Ст.45 1050-88 2591-71 S=50	1
951061120	Круг Ст.40Х Легир.4543-71 2590-71 Ф18	1
1314401242	Проволока А-2-П 9389-75 Ф0,8	1
1131146010	Шестигр.Ст.30ХГСА-Н-3 Калибр.4543-71 8560-67 S10	1
933209411	Полоса Ст.45 103-76 1050-88 32х45	1
1131122110	Круг Ст.20Х Калибр.1051-73 7417-75 Ф10,5	1
933209412	Полоса Ст.45 103-76 1050-88 8х45	1
951059127	Круг Ст.20Х Легир.4543-71 2590-71 Ф241	
1314400011	Проволока В-3 9389-75 Ф0,6	1
1131143517	Шестигр.Ст.35 Калибр.1051-73 8560-67 S17	1
951061123	Круг Ст.40Х Легир.4543-71 2590-71 Ф20	1
1314401105	Проволока Б-1 Пруж.Углер.9389-75 Ф0,8	1
951035110	Круг Ст.45-Б-Т Углерод.1050-88 2590-88 Ф10	1
1314401109	Проволока 1 Пруж.Углер.9389-75 Ф1,2	1
1132006703	Круг Ст.ШХ15 Калибр.801-78 7417-75 Ф28	1
1132006705	Круг Ст.ШХ15 Калибр.801-78 7417-75 Ф20	1
2224000003	Полиамид марки 610 10589-75	1
1132006702	Круг Ст.ШХ15 Калибр.801-78 7417-75 Ф10	1
1131124121	Круг Ст.40Х Калибр.1051-73 7417-75 Ф20	1
1314401157	Проволока А-1 Пруж.Углер.9389-75 Ф2,0	1
1131124514	Круг Ст.45 Калибр.1051-73 7417-75 Ф14	1
1314401152	Проволока А-1 Пруж.Углер.9389-75 Ф1,6	1
1132006701	Круг Ст.Шх15 Калибр.801-78 7417-75 Ф10,5	1
1314401149	Проволока А-1 Пруж.Углер.9389-75 Ф0,6	1
